UTC,Heat load forecast [MW],L11 Heat storage energy [MWh],L11 EK plan [MW],L13 HR plan [MW],L11 VP plan [MW],L02 VP plan [MW],L31 VP plan [MW],L11 Sonfor plan [MW],L11 K5 plan [MW],L11 K8 plan [MW],D41 VP MDC plan [MW],Total heat production plan [MW],Spotprice Prediction [DKK/MWh],Spotprice [DKK/MWh]
2025-01-01 00:00:00+00:00,2.13,22.32,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,11.93,11.94
2025-01-01 00:15:00+00:00,2.13,24.94,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 00:30:00+00:00,2.13,26.22,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 00:45:00+00:00,2.13,25.96,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 01:00:00+00:00,2.15,26.42,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,12.16,12.16
2025-01-01 01:15:00+00:00,2.15,27.55,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 01:30:00+00:00,2.15,29.84,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 01:45:00+00:00,2.15,30.93,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 02:00:00+00:00,2.19,31.98,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,8.13,8.13
2025-01-01 02:15:00+00:00,2.19,34.52,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 02:30:00+00:00,2.19,35.68,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 02:45:00+00:00,2.19,36.95,0.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,0.41,,
2025-01-01 03:00:00+00:00,2.24,39.42,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,3.51,3.51
2025-01-01 03:15:00+00:00,2.24,40.47,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 03:30:00+00:00,2.24,41.99,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 03:45:00+00:00,2.24,44.27,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 04:00:00+00:00,2.32,45.22,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,0.0,0.0
2025-01-01 04:15:00+00:00,2.32,46.95,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 04:30:00+00:00,2.32,48.95,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 04:45:00+00:00,2.32,49.75,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 05:00:00+00:00,2.39,51.34,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,5.67,5.67
2025-01-01 05:15:00+00:00,2.39,53.47,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 05:30:00+00:00,2.39,54.54,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 05:45:00+00:00,2.39,56.79,12.0,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,12.41,,
2025-01-01 06:00:00+00:00,2.42,58.29,5.69,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,6.1,5.89,5.89
2025-01-01 06:15:00+00:00,2.42,59.19,5.69,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,6.1,,
2025-01-01 06:30:00+00:00,2.42,61.32,5.69,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,6.1,,
2025-01-01 06:45:00+00:00,2.42,62.37,5.69,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,6.1,,
2025-01-01 07:00:00+00:00,2.8,,2.42,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,2.83,14.1,14.1
2025-01-01 07:15:00+00:00,2.8,,2.42,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,2.83,,
2025-01-01 07:30:00+00:00,2.8,,2.42,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,2.83,,
2025-01-01 07:45:00+00:00,2.8,,2.42,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,2.83,,
2025-01-01 08:00:00+00:00,2.81,,2.41,0.01,0.2,0.2,0.0,0.0,0.0,0,0.0,2.82,15.81,15.82
