UTC,Heat load forecast [MW],L11 Heat storage energy [MWh],L11 EK plan [MW],Heat Storage (MW),estimate_soc,estimated_energy,Schedule
2024-12-03 00:00:00+00:00,3.26,47.21,0,-3.26,0.786833333,47.21,47.21
2024-12-03 00:15:00+00:00,3.26,46.85,0,-3.26,0.770350575,46.22103448,46.85
2024-12-03 00:30:00+00:00,3.26,46.5,0,-3.26,0.753867816,45.23206897,46.5
2024-12-03 00:45:00+00:00,3.26,46.16,0,-3.26,0.737385057,44.24310345,46.16
2024-12-03 01:00:00+00:00,3.37,45.8,9.68,6.31,0.720902299,43.25413793,45.8
2024-12-03 01:15:00+00:00,3.37,46.3,9.68,6.31,1,60,46.3
2024-12-03 01:30:00+00:00,3.37,47.61,9.68,6.31,1,60,47.61
2024-12-03 01:45:00+00:00,3.37,49.74,9.68,6.31,1,60,49.74
2024-12-03 02:00:00+00:00,4.26,51.3,12,7.74,1,60,51.3
2024-12-03 02:15:00+00:00,4.26,53.75,12,7.74,1,60,53.75
2024-12-03 02:30:00+00:00,4.26,55.87,12,7.74,1,60,55.87
2024-12-03 02:45:00+00:00,4.26,57.88,12,7.74,1,60,57.88
2024-12-03 03:00:00+00:00,4.5,60,6.2,1.7,1,60,60
2024-12-03 03:15:00+00:00,4.5,60,6.2,1.7,1,60,60
2024-12-03 03:30:00+00:00,4.5,60,6.2,1.7,1,60,60
2024-12-03 03:45:00+00:00,4.5,60,6.2,1.7,1,60,60
2024-12-03 04:00:00+00:00,4.94,60,0,-4.94,1,60,60
2024-12-03 04:15:00+00:00,4.94,60,0,-4.94,0.983517241,59.01103448,60
2024-12-03 04:30:00+00:00,4.94,60,0,-4.94,0.967034483,58.02206897,60
2024-12-03 04:45:00+00:00,4.94,59.1,0,-4.94,0.950551724,57.03310345,59.1
2024-12-03 05:00:00+00:00,4.92,57.34,0,-4.92,0.934068966,56.04413793,57.34
2024-12-03 05:15:00+00:00,4.92,56.34,0,-4.92,0.917586207,55.05517241,56.34
2024-12-03 05:30:00+00:00,4.92,55.64,0,-4.92,0.901103448,54.0662069,55.64
2024-12-03 05:45:00+00:00,4.92,54.58,0,-4.92,0.88462069,53.07724138,54.58
2024-12-03 06:00:00+00:00,5.16,52.59,0,-5.16,0.868137931,52.08827586,52.59
2024-12-03 06:15:00+00:00,5.16,51.34,0,-5.16,0.851655172,51.09931034,51.34
2024-12-03 06:30:00+00:00,5.16,50.47,0,-5.16,0.835172414,50.11034483,50.47
2024-12-03 06:45:00+00:00,5.16,48.86,0,-5.16,0.818689655,49.12137931,48.86
2024-12-03 07:00:00+00:00,5.3,47.2,0,-5.3,0.802206897,48.13241379,47.2
2024-12-03 07:15:00+00:00,5.3,46.32,0,-5.3,0.785724138,47.14344828,46.32
2024-12-03 07:30:00+00:00,5.3,45.4,0,-5.3,0.769241379,46.15448276,45.4
2024-12-03 07:45:00+00:00,5.3,43.73,0,-5.3,0.752758621,45.16551724,43.73
2024-12-03 08:00:00+00:00,5.24,42.27,0,-5.24,0.736275862,44.17655172,42.27
2024-12-03 08:15:00+00:00,5.24,41.5,0,-5.24,0.719793103,43.18758621,41.5
2024-12-03 08:30:00+00:00,5.24,40.76,0,-5.24,0.703310345,42.19862069,40.76
2024-12-03 08:45:00+00:00,5.24,39.4,0,-5.24,0.686827586,41.20965517,39.4
2024-12-03 09:00:00+00:00,4.92,37.87,1.99,-2.93,0.670344828,40.22068966,37.87
2024-12-03 09:15:00+00:00,4.92,37.26,1.99,-2.93,0.65659546,39.39572759,37.26
2024-12-03 09:30:00+00:00,4.92,37.02,1.99,-2.93,0.642846092,38.57076552,37.02
2024-12-03 09:45:00+00:00,4.92,36.8,1.99,-2.93,0.629096724,37.74580345,36.8
2024-12-03 10:00:00+00:00,4.37,36.91,12,7.63,0.615347356,36.92084138,36.91
2024-12-03 10:15:00+00:00,4.37,38.92,12,7.63,0.983947356,59.03684138,38.92
2024-12-03 10:30:00+00:00,4.37,41.25,12,7.63,1,60,41.25
2024-12-03 10:45:00+00:00,4.37,43.01,12,7.63,1,60,43.01
2024-12-03 11:00:00+00:00,4.38,45.56,12,7.62,1,60,45.56
2024-12-03 11:15:00+00:00,4.38,47.21,12,7.62,1,60,47.21
2024-12-03 11:30:00+00:00,4.38,49.79,12,7.62,1,60,49.79
2024-12-03 11:45:00+00:00,4.38,51.69,12,7.62,1,60,51.69
2024-12-03 12:00:00+00:00,4.53,54.38,11.77,7.24,1,60,54.38
2024-12-03 12:15:00+00:00,4.53,56.18,11.77,7.24,1,60,56.18
2024-12-03 12:30:00+00:00,4.53,58.18,11.77,7.24,1,60,58.18
2024-12-03 12:45:00+00:00,4.53,60,11.77,7.24,1,60,60
2024-12-03 13:00:00+00:00,4.59,60,0,-4.59,1,60,60
2024-12-03 13:15:00+00:00,4.59,60,0,-4.59,0.983517241,59.01103448,60
2024-12-03 13:30:00+00:00,4.59,60,0,-4.59,0.967034483,58.02206897,60
