UTC,Heat load forecast [MW],L11 Heat storage energy [MWh],L11 EK plan [MW],L13 HR plan [MW],L11 VP plan [MW],L02 VP plan [MW],L31 VP plan [MW],L11 Sonfor plan [MW],L11 K5 plan [MW],L11 K8 plan [MW],D41 VP MDC plan [MW],Total heat production plan [MW],Spotprice Prediction [DKK/MWh],Spotprice [DKK/MWh]
2025-03-10 00:00:00+00:00,4.78,44.67,12.0,0.02,0.1,0.1,0.2,0.0,0.0,0,0,12.42,707.94,708.1
2025-03-10 00:15:00+00:00,4.78,46.71,12.0,0.02,0.1,0.1,0.2,0.0,0.0,0,0,12.42,,
2025-03-10 00:30:00+00:00,4.78,47.8,12.0,0.02,0.1,0.1,0.2,0.0,0.0,0,0,12.42,,
2025-03-10 00:45:00+00:00,4.78,48.65,12.0,0.02,0.1,0.1,0.2,0.0,0.0,0,0,12.42,,
2025-03-10 01:00:00+00:00,4.62,51.18,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,721.21,721.38
2025-03-10 01:15:00+00:00,4.62,53.09,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 01:30:00+00:00,4.62,55.83,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 01:45:00+00:00,4.62,57.7,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 02:00:00+00:00,4.14,59.43,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,722.48,722.65
2025-03-10 02:15:00+00:00,4.14,62.04,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 02:30:00+00:00,4.14,62.62,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 02:45:00+00:00,4.14,62.74,12.0,0.01,0.1,0.1,0.2,0.0,0.0,0,0,12.41,,
2025-03-10 03:00:00+00:00,4.68,62.75,12.0,0.06,0.1,0.1,0.2,0.0,0.0,0,0,12.46,671.09,671.25
2025-03-10 03:15:00+00:00,4.68,62.76,12.0,0.06,0.1,0.1,0.2,0.0,0.0,0,0,12.46,,
2025-03-10 03:30:00+00:00,4.68,62.77,12.0,0.06,0.1,0.1,0.2,0.0,0.0,0,0,12.46,,
2025-03-10 03:45:00+00:00,4.68,62.77,12.0,0.06,0.1,0.1,0.2,0.0,0.0,0,0,12.46,,
2025-03-10 04:00:00+00:00,5.05,62.77,12.0,0.04,0.1,0.1,0.2,0.0,0.0,0,0,12.44,754.33,754.5
2025-03-10 04:15:00+00:00,5.05,62.77,12.0,0.04,0.1,0.1,0.2,0.0,0.0,0,0,12.44,,
2025-03-10 04:30:00+00:00,5.05,62.78,12.0,0.04,0.1,0.1,0.2,0.0,0.0,0,0,12.44,,
2025-03-10 04:45:00+00:00,5.05,62.78,12.0,0.04,0.1,0.1,0.2,0.0,0.0,0,0,12.44,,
2025-03-10 05:00:00+00:00,5.73,62.78,5.51,0.06,0.1,0.1,0.2,0.0,0.0,0,0,5.97,1075.85,1076.1
2025-03-10 05:15:00+00:00,5.73,62.78,5.51,0.06,0.1,0.1,0.2,0.0,0.0,0,0,5.97,,
2025-03-10 05:30:00+00:00,5.73,62.79,5.51,0.06,0.1,0.1,0.2,0.0,0.0,0,0,5.97,,
2025-03-10 05:45:00+00:00,5.73,62.79,5.51,0.06,0.1,0.1,0.2,0.0,0.0,0,0,5.97,,
2025-03-10 06:00:00+00:00,5.89,62.78,0.0,0.25,0.1,0.1,0.2,0.0,0.0,0,0,0.65,1144.25,1144.51
2025-03-10 06:15:00+00:00,5.89,62.74,0.0,0.25,0.1,0.1,0.2,0.0,0.0,0,0,0.65,,
2025-03-10 06:30:00+00:00,5.89,62.54,0.0,0.25,0.1,0.1,0.2,0.0,0.0,0,0,0.65,,
2025-03-10 06:45:00+00:00,5.89,61.07,0.0,0.25,0.1,0.1,0.2,0.0,0.0,0,0,0.65,,
2025-03-10 07:00:00+00:00,5.45,,0.0,0.23,0.2,0.2,0.4,0.1,0.0,0,0,1.13,999.11,999.34
2025-03-10 07:15:00+00:00,5.45,,0.0,0.23,0.2,0.2,0.4,0.1,0.0,0,0,1.13,,
2025-03-10 07:30:00+00:00,5.45,,0.0,0.23,0.2,0.2,0.4,0.1,0.0,0,0,1.13,,
2025-03-10 07:45:00+00:00,5.45,,0.0,0.23,0.2,0.2,0.4,0.1,0.0,0,0,1.13,,
2025-03-10 08:00:00+00:00,4.64,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,737.47,737.64
2025-03-10 08:15:00+00:00,4.64,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 08:30:00+00:00,4.64,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 08:45:00+00:00,4.64,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 09:00:00+00:00,3.94,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.15,629.33,629.47
2025-03-10 09:15:00+00:00,3.94,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.15,,
2025-03-10 09:30:00+00:00,3.94,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.15,,
2025-03-10 09:45:00+00:00,3.94,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.15,,
2025-03-10 10:00:00+00:00,3.46,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,580.85,580.98
2025-03-10 10:15:00+00:00,3.46,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 10:30:00+00:00,3.46,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 10:45:00+00:00,3.46,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 11:00:00+00:00,3.24,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,566.98,567.11
2025-03-10 11:15:00+00:00,3.24,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 11:30:00+00:00,3.24,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 11:45:00+00:00,3.24,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 12:00:00+00:00,3.08,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,576.67,576.81
2025-03-10 12:15:00+00:00,3.08,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 12:30:00+00:00,3.08,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 12:45:00+00:00,3.08,,0.0,0.24,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 13:00:00+00:00,2.98,,0.0,0.18,0.2,0.2,0.4,0.1,0.0,0,0,1.08,625.82,625.97
2025-03-10 13:15:00+00:00,2.98,,0.0,0.18,0.2,0.2,0.4,0.1,0.0,0,0,1.08,,
2025-03-10 13:30:00+00:00,2.98,,0.0,0.18,0.2,0.2,0.4,0.1,0.0,0,0,1.08,,
2025-03-10 13:45:00+00:00,2.98,,0.0,0.18,0.2,0.2,0.4,0.1,0.0,0,0,1.08,,
2025-03-10 14:00:00+00:00,2.92,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.14,719.8,719.96
2025-03-10 14:15:00+00:00,2.92,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 14:30:00+00:00,2.92,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 14:45:00+00:00,2.92,,0.0,0.25,0.2,0.2,0.4,0.1,0.0,0,0,1.14,,
2025-03-10 15:00:00+00:00,2.73,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,771.33,771.51
2025-03-10 15:15:00+00:00,2.73,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 15:30:00+00:00,2.73,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 15:45:00+00:00,2.73,,0.0,0.19,0.2,0.2,0.4,0.1,0.0,0,0,1.09,,
2025-03-10 16:00:00+00:00,2.53,,0.0,0.15,0.2,0.2,0.4,0.0,0.0,0,0,0.95,1051.24,1051.49
2025-03-10 16:15:00+00:00,2.53,,0.0,0.15,0.2,0.2,0.4,0.0,0.0,0,0,0.95,,
2025-03-10 16:30:00+00:00,2.53,,0.0,0.15,0.2,0.2,0.4,0.0,0.0,0,0,0.95,,
2025-03-10 16:45:00+00:00,2.53,,0.0,0.15,0.2,0.2,0.4,0.0,0.0,0,0,0.95,,
2025-03-10 17:00:00+00:00,2.52,,0.0,0.13,0.2,0.2,0.4,0.0,0.0,0,0,0.93,1233.22,1233.51
2025-03-10 17:15:00+00:00,2.52,,0.0,0.13,0.2,0.2,0.4,0.0,0.0,0,0,0.93,,
2025-03-10 17:30:00+00:00,2.52,,0.0,0.13,0.2,0.2,0.4,0.0,0.0,0,0,0.93,,
2025-03-10 17:45:00+00:00,2.52,,0.0,0.13,0.2,0.2,0.4,0.0,0.0,0,0,0.93,,
2025-03-10 18:00:00+00:00,2.61,,0.0,0.19,0.2,0.2,0.4,0.0,0.0,0,0,0.99,1170.13,1170.4
2025-03-10 18:15:00+00:00,2.61,,0.0,0.19,0.2,0.2,0.4,0.0,0.0,0,0,0.99,,
2025-03-10 18:30:00+00:00,2.61,,0.0,0.19,0.2,0.2,0.4,0.0,0.0,0,0,0.99,,
2025-03-10 18:45:00+00:00,2.61,,0.0,0.19,0.2,0.2,0.4,0.0,0.0,0,0,0.99,,
2025-03-10 19:00:00+00:00,2.7,,0.0,0.26,0.2,0.2,0.4,0.0,0.0,0,0,1.06,918.86,919.07
2025-03-10 19:15:00+00:00,2.7,,0.0,0.26,0.2,0.2,0.4,0.0,0.0,0,0,1.06,,
2025-03-10 19:30:00+00:00,2.7,,0.0,0.26,0.2,0.2,0.4,0.0,0.0,0,0,1.06,,
2025-03-10 19:45:00+00:00,2.7,,0.0,0.26,0.2,0.2,0.4,0.0,0.0,0,0,1.06,,
2025-03-10 20:00:00+00:00,2.95,,0.0,0.16,0.2,0.2,0.4,0.0,0.0,0,0,0.96,863.82,864.02
2025-03-10 20:15:00+00:00,2.95,,0.0,0.16,0.2,0.2,0.4,0.0,0.0,0,0,0.96,,
2025-03-10 20:30:00+00:00,2.95,,0.0,0.16,0.2,0.2,0.4,0.0,0.0,0,0,0.96,,
2025-03-10 20:45:00+00:00,2.95,,0.0,0.16,0.2,0.2,0.4,0.0,0.0,0,0,0.96,,
2025-03-10 21:00:00+00:00,3.38,,0.0,0.27,0.2,0.2,0.4,0.0,0.0,0,0,1.07,789.23,789.42
2025-03-10 21:15:00+00:00,3.38,,0.0,0.27,0.2,0.2,0.4,0.0,0.0,0,0,1.07,,
2025-03-10 21:30:00+00:00,3.38,,0.0,0.27,0.2,0.2,0.4,0.0,0.0,0,0,1.07,,
2025-03-10 21:45:00+00:00,3.38,,0.0,0.27,0.2,0.2,0.4,0.0,0.0,0,0,1.07,,
2025-03-10 22:00:00+00:00,3.78,,0.0,0.25,0.2,0.2,0.4,0.0,0.0,0,0,1.05,730.54,730.71
2025-03-10 22:15:00+00:00,3.78,,0.0,0.25,0.2,0.2,0.4,0.0,0.0,0,0,1.05,,
2025-03-10 22:30:00+00:00,3.78,,0.0,0.25,0.2,0.2,0.4,0.0,0.0,0,0,1.05,,
2025-03-10 22:45:00+00:00,3.78,,0.0,0.25,0.2,0.2,0.4,0.0,0.0,0,0,1.05,,
2025-03-10 23:00:00+00:00,4.02,,0.0,0.24,0.2,0.2,0.4,0.0,0.0,0,0,1.04,678.59,
2025-03-10 23:15:00+00:00,4.02,,0.0,0.24,0.2,0.2,0.4,0.0,0.0,0,0,1.04,,
