UTC,Heat load forecast [MW],L11 Heat storage energy [MWh],L11 EK plan [MW],L13 HR plan [MW],L11 VP plan [MW],L02 VP plan [MW],L31 VP plan [MW],L11 Sonfor plan [MW],L11 K5 plan [MW],L11 K8 plan [MW],D41 VP MDC plan [MW],Total heat production plan [MW],Spotprice Prediction [DKK/MWh],Spotprice [DKK/MWh]
2025-04-01 00:00:00+00:00,3.65,31.4,0,0.44,0.3,0.3,0.6,0.1,1.48,0,0.52,3.22,1372.64,693.11
2025-04-01 00:15:00+00:00,3.65,31.17,0,0.44,0.3,0.3,0.6,0.1,1.48,0,0.52,3.22,,
2025-04-01 00:30:00+00:00,3.65,31.16,0,0.44,0.3,0.3,0.6,0.1,1.48,0,0.52,3.22,,
2025-04-01 00:45:00+00:00,3.65,31.16,0,0.44,0.3,0.3,0.6,0.1,1.48,0,0.52,3.22,,
2025-04-01 01:00:00+00:00,4.02,31.15,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,1372.64,697.51
2025-04-01 01:15:00+00:00,4.02,30.72,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 01:30:00+00:00,4.02,29.96,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 01:45:00+00:00,4.02,29.21,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 02:00:00+00:00,4.2,28.35,0,0.44,0.3,0.3,0.6,0.1,0.36,0,0.52,2.1,1372.64,682.07
2025-04-01 02:15:00+00:00,4.2,27.95,0,0.44,0.3,0.3,0.6,0.1,0.36,0,0.52,2.1,,
2025-04-01 02:30:00+00:00,4.2,27.94,0,0.44,0.3,0.3,0.6,0.1,0.36,0,0.52,2.1,,
2025-04-01 02:45:00+00:00,4.2,27.94,0,0.44,0.3,0.3,0.6,0.1,0.36,0,0.52,2.1,,
2025-04-01 03:00:00+00:00,4.65,27.98,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,1372.64,751.3
2025-04-01 03:15:00+00:00,4.65,27.62,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 03:30:00+00:00,4.65,27.11,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 03:45:00+00:00,4.65,26.45,0,0.44,0.3,0.3,0.6,0.1,0,0,0.52,1.74,,
2025-04-01 04:00:00+00:00,5.03,25.54,0,0.44,0.3,0.3,0.6,0.07,0.05,0,0.52,1.76,1372.64,965.77
2025-04-01 04:15:00+00:00,5.03,25.19,0,0.44,0.3,0.3,0.6,0.07,0.05,0,0.52,1.76,,
2025-04-01 04:30:00+00:00,5.03,25.19,0,0.44,0.3,0.3,0.6,0.07,0.05,0,0.52,1.76,,
2025-04-01 04:45:00+00:00,5.03,25.18,0,0.44,0.3,0.3,0.6,0.07,0.05,0,0.52,1.76,,
2025-04-01 05:00:00+00:00,4.77,25.18,0,0.44,0.1,0.1,0.2,0,0,0,0.3,0.84,1372.64,1342.5
2025-04-01 05:15:00+00:00,4.77,24.42,0,0.44,0.1,0.1,0.2,0,0,0,0.3,0.84,,
2025-04-01 05:30:00+00:00,4.77,23.1,0,0.44,0.1,0.1,0.2,0,0,0,0.3,0.84,,
2025-04-01 05:45:00+00:00,4.77,22.54,0,0.44,0.1,0.1,0.2,0,0,0,0.3,0.84,,
2025-04-01 06:00:00+00:00,4.16,22.14,0,0.44,0.1,0.1,0.2,0,0,0,0.1,0.84,1288.84,1188.9
2025-04-01 06:15:00+00:00,4.16,,0,0.44,0.1,0.1,0.2,0,0,0,0.1,0.84,,
2025-04-01 06:30:00+00:00,4.16,,0,0.44,0.1,0.1,0.2,0,0,0,0.1,0.84,,
2025-04-01 06:45:00+00:00,4.16,,0,0.44,0.1,0.1,0.2,0,0,0,0.1,0.84,,
2025-04-01 07:00:00+00:00,3.24,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,1007.54,809.19
2025-04-01 07:15:00+00:00,3.24,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 07:30:00+00:00,3.24,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 07:45:00+00:00,3.24,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 08:00:00+00:00,2.51,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,859.95,642.83
2025-04-01 08:15:00+00:00,2.51,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 08:30:00+00:00,2.51,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 08:45:00+00:00,2.51,,0,0.44,0.3,0.3,0.6,0,0,0,0.52,1.64,,
2025-04-01 09:00:00+00:00,2.1,,0,0.44,0.23,0.3,0.6,0,0,0,0.52,1.57,763.62,524.14
2025-04-01 09:15:00+00:00,2.1,,0,0.44,0.23,0.3,0.6,0,0,0,0.52,1.57,,
2025-04-01 09:30:00+00:00,2.1,,0,0.44,0.23,0.3,0.6,0,0,0,0.52,1.57,,
2025-04-01 09:45:00+00:00,2.1,,0,0.44,0.23,0.3,0.6,0,0,0,0.52,1.57,,
