HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2025-04-20 21:00:00,2025-04-20T23:00:00,DK1,826.469696,110.68
2025-04-20 20:00:00,2025-04-20T22:00:00,DK1,909.654304,121.82
2025-04-20 19:00:00,2025-04-20T21:00:00,DK1,1027.188017,137.559998
2025-04-20 18:00:00,2025-04-20T20:00:00,DK1,1082.370618,144.949997
2025-04-20 17:00:00,2025-04-20T19:00:00,DK1,895.615983,119.940002
2025-04-20 16:00:00,2025-04-20T18:00:00,DK1,797.571617,106.809998
2025-04-20 15:00:00,2025-04-20T17:00:00,DK1,540.774609,72.419998
2025-04-20 14:00:00,2025-04-20T16:00:00,DK1,0.0,0.0
2025-04-20 13:00:00,2025-04-20T15:00:00,DK1,-5.749744,-0.77
2025-04-20 12:00:00,2025-04-20T14:00:00,DK1,0.0,0.0
2025-04-20 11:00:00,2025-04-20T13:00:00,DK1,-0.074672,-0.01
2025-04-20 10:00:00,2025-04-20T12:00:00,DK1,-5.376384,-0.72
2025-04-20 09:00:00,2025-04-20T11:00:00,DK1,-0.597376,-0.08
2025-04-20 08:00:00,2025-04-20T10:00:00,DK1,0.0,0.0
2025-04-20 07:00:00,2025-04-20T09:00:00,DK1,139.113929,18.629999
2025-04-20 06:00:00,2025-04-20T08:00:00,DK1,512.249905,68.599998
2025-04-20 05:00:00,2025-04-20T07:00:00,DK1,704.306304,94.32
2025-04-20 04:00:00,2025-04-20T06:00:00,DK1,816.762314,109.379997
2025-04-20 03:00:00,2025-04-20T05:00:00,DK1,811.236601,108.639999
2025-04-20 02:00:00,2025-04-20T04:00:00,DK1,737.983391,98.830002
2025-04-20 01:00:00,2025-04-20T03:00:00,DK1,727.379982,97.410004
2025-04-20 00:00:00,2025-04-20T02:00:00,DK1,739.103478,98.980003
2025-04-19 23:00:00,2025-04-20T01:00:00,DK1,708.637295,94.900002
2025-04-19 22:00:00,2025-04-20T00:00:00,DK1,731.7856,98.0
2025-04-19 21:00:00,2025-04-19T23:00:00,DK1,704.978382,94.410004
2025-04-19 20:00:00,2025-04-19T22:00:00,DK1,775.842095,103.900002
2025-04-19 19:00:00,2025-04-19T21:00:00,DK1,895.317295,119.900002
2025-04-19 18:00:00,2025-04-19T20:00:00,DK1,945.944896,126.68
2025-04-19 17:00:00,2025-04-19T19:00:00,DK1,806.532287,108.010002
2025-04-19 16:00:00,2025-04-19T18:00:00,DK1,767.404122,102.769997
2025-04-19 15:00:00,2025-04-19T17:00:00,DK1,477.975487,64.010002
2025-04-19 14:00:00,2025-04-19T16:00:00,DK1,1.49344,0.2
2025-04-19 13:00:00,2025-04-19T15:00:00,DK1,-6.421792,-0.86
2025-04-19 12:00:00,2025-04-19T14:00:00,DK1,-2.762864,-0.37
2025-04-19 11:00:00,2025-04-19T13:00:00,DK1,-6.197776,-0.83
2025-04-19 10:00:00,2025-04-19T12:00:00,DK1,0.0,0.0
2025-04-19 09:00:00,2025-04-19T11:00:00,DK1,33.901088,4.54
2025-04-19 08:00:00,2025-04-19T10:00:00,DK1,223.941328,29.99
2025-04-19 07:00:00,2025-04-19T09:00:00,DK1,570.718096,76.43
2025-04-19 06:00:00,2025-04-19T08:00:00,DK1,626.423401,83.889999
2025-04-19 05:00:00,2025-04-19T07:00:00,DK1,663.983409,88.919998
2025-04-19 04:00:00,2025-04-19T06:00:00,DK1,629.932999,84.360001
2025-04-19 03:00:00,2025-04-19T05:00:00,DK1,620.150982,83.050003
2025-04-19 02:00:00,2025-04-19T04:00:00,DK1,589.311409,78.919998
2025-04-19 01:00:00,2025-04-19T03:00:00,DK1,569.075305,76.209999
2025-04-19 00:00:00,2025-04-19T02:00:00,DK1,586.921905,78.599998
2025-04-18 23:00:00,2025-04-19T01:00:00,DK1,555.410314,74.379997
2025-04-18 22:00:00,2025-04-19T00:00:00,DK1,608.203418,81.449997
2025-04-18 21:00:00,2025-04-18T23:00:00,DK1,672.048,90.0
2025-04-18 20:00:00,2025-04-18T22:00:00,DK1,743.359782,99.550003
2025-04-18 19:00:00,2025-04-18T21:00:00,DK1,834.534287,111.760002
2025-04-18 18:00:00,2025-04-18T20:00:00,DK1,907.936818,121.589996
2025-04-18 17:00:00,2025-04-18T19:00:00,DK1,888.074096,118.93
2025-04-18 16:00:00,2025-04-18T18:00:00,DK1,741.044913,99.239998
2025-04-18 15:00:00,2025-04-18T17:00:00,DK1,622.391105,83.349998
2025-04-18 14:00:00,2025-04-18T16:00:00,DK1,491.416417,65.809998
2025-04-18 13:00:00,2025-04-18T15:00:00,DK1,410.845344,55.02
2025-04-18 12:00:00,2025-04-18T14:00:00,DK1,396.582999,53.110001
